"Measurement outcome","Frequency"
"0x26062a","1"
"0x2607e2","1"
"0x260978","1"
"0x260a62","1"
"0x260aa2","1"
"0x260b1a","1"
"0x260be2","1"
"0x26222c","1"
"0x262518","1"
"0x262f30","1"
"0x26362","1"
"0x26420","1"
"0x264e1a","1"
"0x264f46","1"
"0x2666f0","1"
"0x266732","1"
"0x266740","1"
"0x26828a","1"
"0x26861a","1"
"0x2686ec","1"
"0x2688ae","1"
"0x268b68","1"
"0x26a042","1"
"0x26a1ba","1"
"0x26a43e","1"
"0x26a70","1"
"0x26a75e","1"
"0x26c542","1"
"0x26c60","1"
"0x26c628","1"
"0x26cb02","1"
"0x26cb72","1"
"0x26db8","1"
"0x26e028","1"
"0x26e44","1"
"0x26e60e","1"
"0x26e7e9","1"
"0x26e830","1"
"0x26eda2","1"
"0x26eea","1"
"0x270350","1"
"0x27226e","1"
"0x27247c","1"
"0x27248c","1"
"0x272ac8","1"
"0x272c92","1"
"0x272ef8","1"
"0x272f28","1"
"0x274216","1"
"0x274224","1"
"0x274618","1"
"0x274738","1"
"0x274c4c","1"
"0x274ef2","1"
"0x276c14","1"
"0x276de6","1"
"0x278388","1"
"0x27856c","1"
"0x2788ce","1"
"0x278a20","1"
"0x278b66","1"
"0x27a59a","1"
"0x27a77e","1"
"0x27a914","1"
"0x27a9a4","1"
"0x27aa50","1"
"0x27ab5c","1"
"0x27ac0a","1"
"0x27ae7a","1"
"0x27c388","1"
"0x27c456","1"
"0x27c5c4","1"
"0x27ce3a","1"
"0x27e6e4","1"
"0x27ec4e","1"
"0x2801f0","1"
"0x2802f0","1"
"0x280594","1"
"0x28072e","1"
"0x280944","1"
"0x280b2a","1"
"0x2823ae","1"
"0x28293a","1"
"0x282b92","1"
"0x284040","1"
"0x2841d8","1"
"0x284696","1"
"0x284aa8","1"
"0x284ac2","1"
"0x284eee","1"
"0x286224","1"
"0x286342","1"
"0x286fa","1"
"0x28815a","1"
"0x28846e","1"
"0x288712","1"
"0x288c5c","1"
"0x28a0b4","1"
"0x28a1ae","1"
"0x28aae2","1"
"0x28ad6a","1"
"0x28c53d","1"
"0x28c60e","1"
"0x28c8c8","1"
"0x28ca80","1"
"0x28cbf2","1"
"0x28d20","1"
"0x28e172","1"
"0x28e564","1"
"0x28fc","1"
"0x2901a6","1"
"0x2908","1"
"0x29095c","1"
"0x2920e6","1"
"0x292472","1"
"0x2924c0","1"
"0x2927ba","1"
"0x292906","1"
"0x292a5c","1"
"0x292c76","1"
"0x292e54","1"
"0x294086","1"
"0x294430","1"
"0x29666a","1"
"0x298170","1"
"0x298220","1"
"0x29854a","1"
"0x2988a8","1"
"0x298e6e","1"
"0x29a31e","1"
"0x29a50a","1"
"0x29a636","1"
"0x29a7ba","1"
"0x29a7ca","1"
"0x29a97c","1"
"0x29ad06","1"
"0x29ad50","1"
"0x29e706","1"
"0x2a0344","1"
"0x2a1da","1"
"0x2a2146","1"
"0x2a4104","1"
"0x2a4a28","1"
"0x2a4f52","1"
"0x2a60b0","1"
"0x2a62","1"
"0x2a66ba","1"
"0x2a68d4","1"
"0x2a6fe8","1"
"0x2a8238","1"
"0x2a8342","1"
"0x2a8772","1"
"0x2a8806","1"
"0x2a8d14","1"
"0x2a8d36","1"
"0x2a8e1a","1"
"0x2a8f4e","1"
"0x2aa552","1"
"0x2aa866","1"
"0x2aa92","1"
"0x2aaf86","1"
"0x2ac768","1"
"0x2ac822","1"
"0x2acca4","1"
"0x2ad22","1"
"0x2ad7c","1"
"0x2ae1e8","1"
"0x2ae202","1"
"0x2aea20","1"
"0x2aee80","1"
"0x2af24","1"
"0x2af60","1"
"0x2b04f4","1"
"0x2b0538","1"
"0x2b06a4","1"
"0x2b0a3a","1"
"0x2b0b88","1"
"0x2b0c92","1"
"0x2b0e38","1"
"0x2b21fa","1"
"0x2b2f8c","1"
"0x2b415c","1"
"0x2b4356","1"
"0x2b4558","1"
"0x2b47d8","1"
"0x2b487c","1"
"0x2b4ffe","1"
"0x2b62c6","1"
"0x2b69d0","1"
"0x2b6f26","1"
"0x2b806a","1"
"0x2b80d4","1"
"0x2b84ee","1"
"0x2b8778","1"
"0x2b8802","1"
"0x2ba2ba","1"
"0x2ba318","1"
"0x2baba4","1"
"0x2bac12","1"
"0x2bae00","1"
"0x2bc5fa","1"
"0x2bc700","1"
"0x2bc9ac","1"
"0x2bcb3a","1"
"0x2bce7b","1"
"0x2be14a","1"
"0x2beb58","1"
"0x2becd0","1"
"0x2bef90","1"
"0x2befd0","1"
"0x2c0012","1"
"0x2c002a","1"
"0x2c03ce","1"
"0x2c047e","1"
"0x2c0930","1"
"0x2c0a6b","1"
"0x2c20f8","1"
"0x2c23c8","1"
"0x2c2d2e","1"
"0x2c409c","1"
"0x2c486","1"
"0x2c4a42","1"
"0x2c4ada","1"
"0x2c4b88","1"
"0x2c631a","1"
"0x2c66b2","1"
"0x2c69f2","1"
"0x2c6cf2","1"
"0x2c6ea4","1"
"0x2c724","1"
"0x2c84a","1"
"0x2c8554","1"
"0x2c8b0c","1"
"0x2c8b5e","1"
"0x2c8e82","1"
"0x2ca24c","1"
"0x2ca9f0","1"
"0x2cada4","1"
"0x2cbf0","1"
"0x2cc68a","1"
"0x2cc852","1"
"0x2cd4e","1"
"0x2ce122","1"
"0x2ce728","1"
"0x2ce844","1"
"0x2cea28","1"
"0x2d0744","1"
"0x2d0776","1"
"0x2d093c","1"
"0x2d09f4","1"
"0x2d0a6e","1"
"0x2d0a84","1"
"0x2d2248","1"
"0x2d22a0","1"
"0x2d235a","1"
"0x2d23a0","1"
"0x2d2512","1"
"0x2d436a","1"
"0x2d44c8","1"
"0x2d4718","1"
"0x2d4af4","1"
"0x2d6530","1"
"0x2d6714","1"
"0x2d69c2","1"
"0x2d6b04","1"
"0x2d6c12","1"
"0x2d6f14","1"
"0x2d81d6","1"
"0x2d86b6","1"
"0x2d8d54","1"
"0x2d8fd0","1"
"0x2da15a","1"
"0x2dc872","1"
"0x2dce82","1"
"0x2decae","1"
"0x2dedfc","1"
"0x2e011a","1"
"0x2e06e8","1"
"0x2e077c","1"
"0x2e08ce","1"
"0x2e0948","1"
"0x2e0cf0","1"
"0x2e0da8","1"
"0x2e246a","1"
"0x2e2aba","1"
"0x2e2f44","1"
"0x2e3c2","1"
"0x2e4222","1"
"0x2e4720","1"
"0x2e4782","1"
"0x2e4ae6","1"
"0x2e4b8c","1"
"0x2e60d4","1"
"0x2e66f6","1"
"0x2e69e0","1"
"0x2e8b1a","1"
"0x2ea798","1"
"0x2eab32","1"
"0x2eae3e","1"
"0x2eafa2","1"
"0x2ec35c","1"
"0x2ec4d2","1"
"0x2ec792","1"
"0x2ec952","1"
"0x2ec994","1"
"0x2ed5a","1"
"0x2ee068","1"
"0x2ee1ca","1"
"0x2ee414","1"
"0x2ee4ba","1"
"0x2ee752","1"
"0x2ee89e","1"
