"Measurement outcome","Frequency"
"0x17268a","1"
"0x17275c","1"
"0x172794","1"
"0x1727c6","1"
"0x1727ec","1"
"0x172b6","1"
"0x17303c","1"
"0x17305a","1"
"0x1731f2","1"
"0x173276","1"
"0x173434","1"
"0x173550","1"
"0x1735d0","1"
"0x17367a","1"
"0x173736","1"
"0x17413a","1"
"0x17418","1"
"0x17436a","1"
"0x174388","1"
"0x1743d0","1"
"0x17451a","1"
"0x17451e","1"
"0x174550","1"
"0x1745a","1"
"0x1747b8","1"
"0x1747c2","1"
"0x17515e","1"
"0x17522e","1"
"0x17523e","1"
"0x1753fa","1"
"0x175650","1"
"0x17571e","1"
"0x1759c","1"
"0x176052","1"
"0x17608c","1"
"0x1760f2","1"
"0x176158","1"
"0x17631a","1"
"0x1763d0","1"
"0x1763d6","1"
"0x176414","1"
"0x176570","1"
"0x176656","1"
"0x17674","1"
"0x17679e","1"
"0x176f8","1"
"0x17700e","1"
"0x17714","1"
"0x177236","1"
"0x1772d0","1"
"0x17749e","1"
"0x1774c6","1"
"0x1774f2","1"
"0x177510","1"
"0x177720","1"
"0x177792","1"
"0x1777c2","1"
"0x1777c4","1"
"0x17786","1"
"0x177b4","1"
"0x1783d8","1"
"0x1784d0","1"
"0x178540","1"
"0x1785bc","1"
"0x1786d6","1"
"0x1787ae","1"
"0x1787d2","1"
"0x1790dc","1"
"0x179358","1"
"0x179402","1"
"0x179552","1"
"0x1795d8","1"
"0x1795f2","1"
"0x17965e","1"
"0x179758","1"
"0x17a0b0","1"
"0x17a0ea","1"
"0x17a15e","1"
"0x17a234","1"
"0x17a256","1"
"0x17a654","1"
"0x17a696","1"
"0x17a69c","1"
"0x17a7bc","1"
"0x17a7e6","1"
"0x17b138","1"
"0x17b178","1"
"0x17b1b2","1"
"0x17b512","1"
"0x17b576","1"
"0x17b7c2","1"
"0x17c032","1"
"0x17c2de","1"
"0x17c35a","1"
"0x17c5d4","1"
"0x17c5f0","1"
"0x17c626","1"
"0x17c6da","1"
"0x17c7b4","1"
"0x17c7b6","1"
"0x17c7c6","1"
"0x17d096","1"
"0x17d134","1"
"0x17d186","1"
"0x17d2b2","1"
"0x17d3de","1"
"0x17d49c","1"
"0x17d5d6","1"
"0x17d7d6","1"
"0x17e10a","1"
"0x17e138","1"
"0x17e508","1"
"0x17e5a4","1"
"0x17e67c","1"
"0x17e718","1"
"0x17f0fa","1"
"0x17f25a","1"
"0x17f25e","1"
